,url,title,image,price,is_bills_included
32,https://www.bayut.com/property/details-9354620.html,Proper Tawtheeq Unit 1bhk Sep/kitchen gym/pool basement parking Near Safeer Central In KCA,https://images.bayut.com/thumbnails/738915458-400x300.jpeg,"53,000",True
33,https://www.bayut.com/property/details-10547528.html,Fully Furnished 1 BHK Apartment / Monthly 5500 / Specious Big Room Size / Sunlight Windows / with Nice Full Washroom in Khalifa City A,https://images.bayut.com/thumbnails/754614566-400x300.jpeg,"60,000",True
34,https://www.bayut.com/property/details-8712435.html,European Compound Spacious Fully Furnished One Bedroom and Hall With Separate Kitchen / Free WIFI + Maid Service / Monthly 4800 / Proper Full Washroom,https://images.bayut.com/thumbnails/738327010-400x300.jpeg,"52,000",True
35,https://www.bayut.com/property/details-10554483.html,Adorable Flat !!Nice 1BHK With Balcony/ Separate Kitchen,https://images.bayut.com/thumbnails/754752391-400x300.jpeg,"40,000",True
36,https://www.bayut.com/property/details-8274718.html,Outstanding Look One Bedroom Hall Like First Tenant Private Entrances With Separate Kitchen Bathtub Washroom In KCA,https://images.bayut.com/thumbnails/545152580-400x300.jpeg,"44,000",True
37,https://www.bayut.com/property/details-10543873.html,Hot Offer !! 1-Bedroom | Separate Kitchen | Private Entrance | Big Room | Month-3000,https://images.bayut.com/thumbnails/754541118-400x300.jpeg,"36,000",True
38,https://www.bayut.com/property/details-10554028.html,European Compound !!New 1BHK + Backyard/ Free WiFi/4300,https://images.bayut.com/thumbnails/754745663-400x300.jpeg,"50,000",True
39,https://www.bayut.com/property/details-9285964.html,Brand new-Luxurious modern 1/BHK | Ready to move | Fullysep. kitchen-bath | Family friendly,https://images.bayut.com/thumbnails/729747217-400x300.jpeg,"45,999",True
40,https://www.bayut.com/property/details-10554215.html,Delicious 1BR | American Kitchen /Wardrobes | Parking KCA,https://images.bayut.com/thumbnails/754748566-400x300.jpeg,"41,000",True
41,https://www.bayut.com/property/details-9258625.html,European Community 1bhk PVt/Balcony Sep/Kitchen Proper Washroom On Prime Location In KCA,https://images.bayut.com/thumbnails/731185256-400x300.jpeg,"44,000",True
42,https://www.bayut.com/property/details-10547652.html,Fully Furnished 1-Bedroom Hall  Private Entrance | Separate Kitchen ( Monthly 4000 )Washroom  Bath Tub | Close To Etihad Plaza or Masdar IN Khalifa A,https://images.bayut.com/thumbnails/754621803-400x300.jpeg,"46,000",True
43,https://www.bayut.com/property/details-9283483.html,Brand New One Bedroom Hall | Separate kitchen | Proper Bathtub Washroom | Built In Wardrobe Big Sunlight Windows In KCA,https://images.bayut.com/thumbnails/742381297-400x300.jpeg,"47,000",True
44,https://www.bayut.com/property/details-10551889.html,Stunning 1Bedroom Hall | Sunny Windows | Wardrobe | Family Compound | Excellent Washroom | Outclass Finishing | Near Masdar City In Khalifa City A,https://images.bayut.com/thumbnails/754692086-400x300.jpeg,"42,000",True
45,https://www.bayut.com/property/details-10542234.html,Luxury apartment/1Bhk/very clean/Khalifa city a,https://images.bayut.com/thumbnails/754511994-400x300.jpeg,"41,999",True
46,https://www.bayut.com/property/details-10543146.html,Family Compound Excellent 1 Bedroom and Hall With Separate Kitchen / Nice Washrooms / Near Masdar City / in Khalifa City A,https://images.bayut.com/thumbnails/754526735-400x300.jpeg,"42,000",True
47,https://www.bayut.com/property/details-10529963.html,Luxurious 1BHK With Pvt Front Yard/ Expansive Kitchen KCA,https://images.bayut.com/thumbnails/754309440-400x300.jpeg,"45,000",True
48,https://www.bayut.com/property/details-10526906.html,Private Entrance 1Bedroom Hall |Monthly 3100 | Excellent Finishing | Separate Kitchen And Washroom | Family Villa | Near Safeer Mall In Khalifa City A,https://images.bayut.com/thumbnails/754251459-400x300.jpeg,"35,000",True
49,https://www.bayut.com/property/details-10516216.html,European  Society !! 1-BHK | Private Entrance | Separate Kitchen | Huge Room | Free Wi-Fi | Monthly 3500,https://images.bayut.com/thumbnails/754070840-400x300.jpeg,"38,000",True
50,https://www.bayut.com/property/details-10516620.html,Monthly 4200/- Fully Furnished 1BR in Gated Compound in khalifa city A,https://images.bayut.com/thumbnails/754077403-400x300.jpeg,"45,000",True
51,https://www.bayut.com/property/details-10523520.html,Cheaper Price !!Nice 1BHK With  Pvt Entrance /3100 Monthly,https://images.bayut.com/thumbnails/754187405-400x300.jpeg,"35,000",True
52,https://www.bayut.com/property/details-6961630.html,Amazing|Luxurious|1BHK| Private Terrace |sep-Kitchen and bathroom,https://images.bayut.com/thumbnails/754246846-400x300.jpeg,"50,000",True
53,https://www.bayut.com/property/details-10514563.html,Family Compound 1BR with Private Balcony and Excellent Washroom in khalifa city A,https://images.bayut.com/thumbnails/754037818-400x300.jpeg,"43,000",True
54,https://www.bayut.com/property/details-10513909.html,European Compound !! 1-Bedroom Apartment / Separate Kitchen / Huge Room / Sunlight Window / Built in Wardrobe,https://images.bayut.com/thumbnails/754027469-400x300.jpeg,"50,000",True
55,https://www.bayut.com/property/details-10523491.html,Colossal Offer !!Nice 1BR + Proper Kitchen /Huge Rooms/3500,https://images.bayut.com/thumbnails/754187098-400x300.jpeg,"39,000",True
56,https://www.bayut.com/property/details-10514569.html,Spacious 1Bedroom with Private Backyard and Big Separate kitchen in khalifa city A,https://images.bayut.com/thumbnails/754037918-400x300.jpeg,"48,000",True
57,https://www.bayut.com/property/details-10513648.html,Monthly 4800 Fully Furnished 1BR with Free internet | Maid Service in KCA,https://images.bayut.com/thumbnails/754022500-400x300.jpeg,"55,000",True
58,https://www.bayut.com/property/details-10515176.html,Lavish 1 Bedroom and Hall With Separate Kitchen / Monthly3300 / Nice Full Washroom / Near Horizon School / in Khalifa City A,https://images.bayut.com/thumbnails/754049223-400x300.jpeg,"37,000",True
